site,country,year,plot,an_yield,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
9,France,2005,4,8.565,17.43231173,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,5,12.00249286,15.99342551,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,6,7.055425,18.60536794,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,7,8.116076923,17.72501813,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,8,7.147114286,19.74244825,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,9,9.37125,18.47530512,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,10,13.84950536,16.36811532,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,11,14.4944625,16.17609936,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,12,9.5463,16.01799519,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,13,5.823,18.89077258,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,14,10.15425,18.28506537,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,15,7.172809091,20.42924772,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,16,10.11235,18.20045075,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,17,10.87892857,16.99571624,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,18,12.66583636,16.33146045,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,19,9.28455,15.55458261,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,20,9.082366667,17.26657149,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,21,11.34848571,14.382653,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,22,13.234125,17.80726495,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,23,9.929357143,14.76969403,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,24,9.094533333,17.76976187,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,25,9.632538461,15.58577448,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,26,8.4246,16.45680062,NA,NA,NA,NA,NA,NA,NA,NA
9,France,2005,27,7.924928571,16.43581172,NA,NA,NA,NA,NA,NA,NA,NA
